"","Belper","Empnig","Junbuf","Junart","Airpra","Elepal","Rumace","Viclat","Brarut","Ranfla","Cirarv","Hyprad","Leoaut","Potpal","Poapra","Calcus","Tripra","Trirep","Antodo","Salrep","Achmil","Poatri","Chealb","Elyrep","Sagpro","Plalan","Agrsto","Lolper","Alogen","Brohor"
"2",3,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,5,0,0,3,7,0,4,0,0,0,5,2,4
"13",0,0,3,0,0,0,0,0,0,2,0,0,2,0,2,0,0,2,0,0,0,9,1,0,2,0,5,0,5,0
"4",2,0,0,0,0,0,0,0,2,0,2,0,2,0,4,0,0,1,0,0,0,5,0,4,5,0,8,5,2,3
"16",0,0,0,3,0,8,0,0,4,2,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,7,0,4,0
"6",0,0,0,0,0,0,6,0,6,0,0,0,3,0,3,0,5,5,3,0,2,4,0,0,0,5,0,6,0,0
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,0,4,0,0,0,7,0,0
"8",0,0,0,4,0,4,0,0,2,2,0,0,3,0,4,0,0,2,0,0,0,4,0,0,2,0,4,4,5,0
"5",2,0,0,0,0,0,5,0,2,0,0,0,3,0,2,0,2,2,4,0,2,6,0,4,0,5,0,2,0,2
"17",0,0,0,0,2,0,0,0,0,0,0,2,2,0,1,0,0,0,4,0,2,0,0,0,0,2,0,0,0,0
"15",0,0,0,3,0,5,0,0,4,2,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
"10",2,0,0,0,0,0,0,1,2,0,0,0,3,0,4,0,0,6,4,0,4,4,0,0,0,3,0,6,0,4
"11",0,0,0,0,0,0,0,2,4,0,0,2,5,0,4,0,0,3,0,0,0,0,0,0,2,3,0,7,0,0
"9",0,0,4,4,0,0,2,0,2,0,0,0,2,0,4,0,0,3,0,0,0,5,0,6,2,0,3,2,3,0
"18",2,0,0,0,0,0,0,1,6,0,0,0,5,0,3,0,0,2,0,3,0,0,0,0,0,3,0,2,0,0
"3",2,0,0,0,0,0,0,0,2,0,0,0,2,0,5,0,0,2,0,0,0,6,0,4,0,0,4,6,7,0
"20",0,0,0,4,0,4,0,0,4,4,0,0,2,0,0,3,0,0,0,5,0,0,0,0,0,0,5,0,0,0
"14",0,0,0,0,0,4,0,0,0,2,0,0,2,2,0,4,0,6,0,0,0,0,0,0,0,0,4,0,0,0
"19",0,2,0,0,3,0,0,0,3,0,0,5,6,0,0,0,0,2,4,3,0,0,0,0,3,0,0,0,0,0
"12",0,0,4,0,0,0,2,0,4,0,0,0,2,0,0,0,0,3,0,0,0,4,0,0,4,0,4,0,8,0
"7",0,0,2,0,0,0,3,0,2,0,0,0,3,0,4,0,2,2,2,0,2,5,0,0,0,5,0,6,0,2
