"","Groups"
"1","Few"
"2","Few"
"3","Few"
"4","Few"
"5","Few"
"6","Few"
"7","Few"
"8","Many"
"9","Many"
"10","Many"
"11","Many"
"12","Few"
"13","Many"
"14","Many"
"15","Many"
"16","Few"
"17","Many"
"18","Many"
"19","Many"
"20","Many"
"21","Few"
"22","Many"
"23","Many"
"24","Many"
"25","Many"
"26","Many"
"27","Many"
"28","Few"
"29","Many"
"30","Many"
"31","Few"
"32","Many"
"33","Few"
"34","Many"
"35","Few"
"36","Many"
"37","Few"
"38","Few"
"39","Few"
"40","Few"
"41","Few"
"42","Few"
"43","Few"
"44","Few"
"45","Few"
"46","Few"
"47","Few"
"48","Few"
"49","None"
"50","None"
"51","None"
"52","None"
"53","None"
"54","None"
"55","None"
"56","None"
"57","None"
"58","None"
"59","None"
"60","None"
"61","None"
"62","None"
"63","None"
"64","None"
"65","Many"
"66","None"
"67","None"
"68","None"
"69","Many"
"70","Many"
